artista,genero,anio,similares,bio,listeners,playcount
Aretha Franklin,jazz,2022,"Etta James, Nina Simone, Otis Redding","Aretha Franklin (March 25, 1942 - August 16, 2018) was a Memphis, Tennessee born and Detroit, Michigan reared American iconic gospel, soul, and R&B singer, songwriter and pianist. Many have called her ""The Queen Of Soul"" and ""Lady Soul"".

She is renowned for her soul and R&B recordings (on many, of which, she accompanied herself on keyboards and piano, a skill she learned at an early age, learning to play by ear, according to lifetime friend Smokey Robinson) but was also adept at jazz, rock, blues, pop, and gospel. <a href=""https://www.last.fm/music/+noredirect/Aretha+Franklin"">Read more on Last.fm</a>",2799661,49992951
Peggy Lee,jazz,2023,"Julie London, Doris Day, Nat King Cole","Peggy Lee (26 May 1920 – 21 Jan 2002), was an American Grammy Award-winning jazz/popular music singer-songwriter and Academy Award-nominated actress. She was born Norma Deloris Egstrom in Jamestown, North Dakota. Lee has been cited as an influence by such diverse artists as Bobby Darin, Paul McCartney, Bette Midler, Madonna, Shirley Horn, k.d. lang, Elvis Costello, Dusty Springfield, Dr. John, and numerous others. As a songwriter, she collaborated with Sonny Burke <a href=""https://www.last.fm/music/Peggy+Lee"">Read more on Last.fm</a>",1450467,12286469
Kokoroko,jazz,2020,"Joe Armon-Jones, Ezra Collective, Yussef Dayes","KOKOROKO are a young, London based Afrobeat 8-Piece band led by trumpeter Sheila Maurice-Grey, playing a fusion of Jazz and Afrobeat.

Members:
Sheila Maurice-Grey, Cassie Kinoshi, Richie Seivwright, Yohan Kebede, Duane Atherley, Tobi Adenaike, Onome Edgeworth, Ayo Salawu. <a href=""https://www.last.fm/music/Kokoroko"">Read more on Last.fm</a>",268844,3102510
Sarah Vaughan,jazz,2021,"Dinah Washington, Ella Fitzgerald, Carmen McRae","Sarah Lois Vaughan (nicknamed ""Sassy"" and ""The Divine One"") (March 27, 1924, Newark, New Jersey – April 3, 1990, Los Angeles, California) was an American jazz singer, described as ""possessor of one of the most wondrous voices of the 20th century"". Jazz critic Leonard Feather called her ""the most important singer to emerge from the bop era."" Ella Fitzgerald called her the world’s ""greatest singing talent."" When introduced in her two-part interview of 1980 on The Dick Cavett Show <a href=""https://www.last.fm/music/Sarah+Vaughan"">Read more on Last.fm</a>",1121681,11851021
The Cinematic Orchestra,jazz,2022,"The Funky Lowlives, Nuspirit Helsinki, Bobby Hughes Combination","The Cinematic Orchestra is a UK-based jazz and electronic outfit, created in 1999 by composer/programmer/multi-instrumentalist Jason Swinscoe, which records on the Ninja Tune independent record label. 

Other members include Tom Chant (saxophone), Phil France (double bass), Luke Flowers (drums), Nick Ramm (piano), Stuart McCallum (guitar); former members include Jamie Coleman (trumpet), T. Daniel Howard (drums), Alex James (piano), and Patrick ""PC"" Carpenter (turntables).  <a href=""https://www.last.fm/music/The+Cinematic+Orchestra"">Read more on Last.fm</a>",1735127,37769348
Lamp,jazz,2023,"Minuano, Kaede, Mei Ehara","There is more than one artist with the name Lamp.

1. Lamp  (ランプ)  are a Japanese band formed in 2000. There are three members:

Taiyo Someya (染谷大陽; born 13 November 1979) - guitar, synthesizer, vibraphone
Yusuke Nagai (永井祐介; born 22 July 1980) – vocals, guitar, bass, keyboard
Kaori Sakakibara  (榊原香保里; born 17 November 1979) – vocals, flute, accordion

Formation
Someya started playing guitar in middle school. In the folk club during high school <a href=""https://www.last.fm/music/Lamp"">Read more on Last.fm</a>",970011,61647012
Herb Alpert and the Tijuana Brass,jazz,2020,"Herb Alpert, Bert Kaempfert, Walter Wanderley","Herb Alpert (born March 31, 1935 in Los Angeles, California) is an American musician most associated with the Tijuana Brass, a now-defunct brass band of which he was leader. He is also famous as a recording industry executive - he is the ""A"" of A&M Records. <a href=""https://www.last.fm/music/Herb+Alpert+and+the+Tijuana+Brass"">Read more on Last.fm</a>",91374,714902
Lake Street Dive,jazz,2021,"Sammy Rae & The Friends, The Dip, Sir Woman","Lake Street Dive are an American band founded in 2004 in Boston, Massachusetts. The band's original members are Rachael Price (lead vocals), Mike ""McDuck"" Olson (trumpet, guitar), Bridget Kearney (upright bass), and Mike Calabrese (drums). Akie Bermiss (keyboards) joined the band on tour in 2017 and is on their 2018 album. Lake Street Dive started at the New England Conservatory of Music in Boston. The band was named after a street with many dive bars in Olson's hometown of Minneapolis, Minnesota.  <a href=""https://www.last.fm/music/Lake+Street+Dive"">Read more on Last.fm</a>",411126,7804257
Rex Orange County,jazz,2022,"Daniel Caesar, boy pablo, Bruno Major","Alexander James O'Connor (born 4 May 1998), known professionally as Rex Orange County, is an English singer, multi-instrumentalist, and songwriter. O'Connor rose to prominence in 2017 following multiple features on Tyler, the Creator's Grammy-nominated album Flower Boy, including the single ""Boredom"". NPR Music journalist Zoë Jones has described O'Connor's music as ""a bright blend of hip-hop, jazz, and bedroom pop”.

Under the Rex Orange County moniker <a href=""https://www.last.fm/music/Rex+Orange+County"">Read more on Last.fm</a>",1908425,115422438
Yussef Dayes,jazz,2023,"Tom Misch & Yussef Dayes, Alfa Mist, Yussef Kamaal","Jazz percussionist and one half of celebrated jazz-funk duo Yussef Kamaal.

Present at the embryonic stage of the 2010s South London jazz scene, Yussef Dayes is a talented drummer whose expressive and characterful style was first heard by many as part of United Vibrations. Formed with his brothers Kareem and Ahmad, alongside their friend Wayne Francis II, the act fused Afro-beat stylings with forward-looking jazz and rock elements, gaining acclaim for their second LP, 2016's The Myth of the Golden Ratio. <a href=""https://www.last.fm/music/Yussef+Dayes"">Read more on Last.fm</a>",206352,3125475
Jon Batiste,jazz,2020,"Jacob Collier, José James, Lake Street Dive","Jon Batiste (born November 11, 1986) is an American musician, bandleader and TV personality. He has recorded and performed with artists in various genres of music (Stevie Wonder, Prince, Willie Nelson, Lenny Kravitz, Ed Sheeran, and Mavis Staples), released recordings consistently since 2005 and performed in more than 40 countries. Batiste regularly tours with his band Stay Human, and appears with them nightly as Bandleader and Musical Director on The Late Show with Stephen Colbert. <a href=""https://www.last.fm/music/Jon+Batiste"">Read more on Last.fm</a>",451376,4485768
Casiopea,jazz,2021,"T-SQUARE, 高中正義, Jimsaku","Casiopea/カシオペア are a Japanese jazz fusion band that was formed in 1976 by guitarist Issei Noro and bassist Tetsuo Sakurai. In 1977, keyboardist Minoru Mukaiya and drummer Takashi Sasaki joined the group. The group debuted with the album Casiopea in 1979, and 30 albums or more have since been released. In 1980, the drummer seat is replaced by 神保彰/Akira Jimbo.

The album Eyes of the Mind was released in the United States in 1981. They then released the album Mint Jams in 1982 <a href=""https://www.last.fm/music/Casiopea"">Read more on Last.fm</a>",374947,12760692
Levity,jazz,2022,"ALLEYCVT, Tape B, Subtronics","There are at least two artists with the name ""Levity"".

1. An electronic trio from the United States.

Levity is an electronic Trio comprised of Chicago's John Hauldren, Los Angeles's PJ Carberry, and Minnesota's Josh Tarum. Their colorful sounds, upbeat drums, and euphoric soundscapes coated with playful vocals will transport you to the beach no matter where you are.
Having only started in 2019, the Levity boys have amassed over 3 million streams <a href=""https://www.last.fm/music/Levity"">Read more on Last.fm</a>",65379,655388
Kamasi Washington,jazz,2023,"Nubya Garcia, Shabaka, Yussef Dayes","Kamasi Washington (born in in Los Angeles, CA, on 18 February 1981) is an American jazz saxophonist. He is a founding member of the jazz collective West Coast Get Down.

In Washington's family, music was more of a prerequisite than a privilege. His love for music began at first sound. His father, Rickey Washington is a professional saxophonist by night and a high school music teacher by day. Washingtoni’s mother, Valerie Washington is an accomplished <a href=""https://www.last.fm/music/Kamasi+Washington"">Read more on Last.fm</a>",385549,7036899
Piero Umiliani,jazz,2020,"Alberto Baldan Bembo, Sven Libaek, Alessandro Alessandroni","Piero Umiliani (born July 17, 1926 in Florence, Italy –- died February 14, 2001 in Rome) was an Italian film music composer, most famous for his 1968 song Mah Nà Mah Nà –- originally used for the Swedish mondo documentary Svezia, Inferno e Paradiso (""Sweden, Heaven or Hell""), in 1977 it became world-famous when performed on The Muppet Show. It is also a trademark song of the Benny Hill show.

Like many of his Italian colleagues at that time <a href=""https://www.last.fm/music/Piero+Umiliani"">Read more on Last.fm</a>",562568,6936611
Quincy Jones,jazz,2021,"Brothers Johnson, George Benson, Quincy Jones And His Orchestra","Quincy Delight Jones Jr. (March 14, 1933 – November 3, 2024) was an American record producer, songwriter, composer, arranger, and film and television producer. His career spanned over 70 years, with 28 Grammy Awards won out of 80 nominations, and a Grammy Legend Award in 1992. 

Jones came to prominence in the 1950s as a jazz arranger and conductor before working on pop music and film scores. He moved easily between genres, producing pop hit records <a href=""https://www.last.fm/music/Quincy+Jones"">Read more on Last.fm</a>",867578,7828557
Tony Bennett,jazz,2022,"Tony Bennett & Lady Gaga, Bing Crosby, Nat King Cole","Anthony Dominick Benedetto, known professionally as Tony Bennett, was an American singer of traditional pop standards, big band, show tunes and jazz. He is also a painter, having created works under his birth name that are on permanent public display in several institutions. He is the founder of the Frank Sinatra School of the Arts in Astoria, Queens, New York.

Bennett began singing at an early age. He fought in the final stages of World War II as a U. <a href=""https://www.last.fm/music/Tony+Bennett"">Read more on Last.fm</a>",1677328,17268105
ATARASHII GAKKO!,jazz,2023,"BABYMETAL, Phantom Siita, Ano","Atarashii Gakkou no Leaders (新しい学校のリーダーズ: New School Leaders) is a dance and vocal performance group formed in 2015. The members are Mizyu, Rin, Suzuka and Kanon.  They made their international debut as part of the label 88rising in January 2021, under the name ATARASHII GAKKO!

Atarashii Gakko! adopts a philosophy of challenging the norms of Japanese society. Positioning themselves as the representatives of Japanese youth, the group’s guiding principle states: ""In a time when only exemplar citizens are acknowledged <a href=""https://www.last.fm/music/ATARASHII+GAKKO%21"">Read more on Last.fm</a>",331091,10972988
Etta James,jazz,2020,"Aretha Franklin, Nina Simone, Dinah Washington","Etta James (1938-2012) was a U.S.  blues, soul, R&B, rock & roll, and jazz singer and songwriter. She is the winner of four Grammies, seventeen Blues Music Awards, and was inducted into the Rock & Roll Hall of Fame (in 1993), the Blues Hall of Fame (in 2001), and the Grammy Hall of Fame (in both 1999 and 2008).

James was born Jamesetta Hawkins in Los Angeles, California, on 25th January 1938, to an unmarried fourteen-year-old mother, Dorothy Hawkins. <a href=""https://www.last.fm/music/+noredirect/Etta+James"">Read more on Last.fm</a>",2140624,29825163
